Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.350154	0.179764	90.205002	94.839996	
0.010000	0.152694	0.119581	95.690002	96.419998	
0.010000	0.108610	0.097765	96.938332	97.189995	
0.010000	0.086359	0.088535	97.586670	97.360001	
0.010000	0.072927	0.080975	98.013336	97.489998	
0.010000	0.063547	0.077284	98.320000	97.599998	
0.010000	0.056985	0.072762	98.528336	97.790001	
0.010000	0.052109	0.071492	98.656670	97.949997	
0.010000	0.048599	0.070787	98.831665	97.809998	
0.010000	0.045655	0.066646	98.845001	97.979996	
0.010000	0.043336	0.064068	98.966667	98.019997	
0.010000	0.041703	0.065735	99.005005	98.029999	
0.010000	0.039902	0.068777	99.096664	97.989998	
0.010000	0.038557	0.062462	99.133331	98.089996	
0.010000	0.037069	0.062579	99.190002	98.009995	
0.010000	0.035989	0.061468	99.239998	98.180000	
0.010000	0.035395	0.065318	99.264999	97.989998	
0.010000	0.034858	0.060491	99.296669	98.229996	
0.010000	0.034021	0.060590	99.328331	98.139999	
0.010000	0.033645	0.062388	99.376671	98.169998	
