Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	2.222885	1.650433	17.316668	35.669998	
0.010000	0.403014	0.123038	86.748337	96.070000	
0.010000	0.113400	0.061974	96.473335	97.860001	
0.010000	0.080185	0.047972	97.535004	98.449997	
0.010000	0.062716	0.054269	98.016670	98.259995	
0.010000	0.049084	0.051387	98.468338	98.309998	
0.010000	0.042403	0.072878	98.680000	97.680000	
0.010000	0.037601	0.033472	98.788338	98.909996	
0.010000	0.033267	0.045861	98.910004	98.459999	
0.010000	0.028782	0.031789	99.083336	99.009995	
0.010000	0.026422	0.032097	99.188332	98.989998	
0.010000	0.022423	0.027794	99.285004	98.989998	
0.010000	0.020916	0.026427	99.340004	99.149994	
0.010000	0.019175	0.023988	99.428337	99.199997	
0.010000	0.017567	0.022714	99.455002	99.199997	
0.010000	0.015473	0.025751	99.513336	99.119995	
0.010000	0.014219	0.028091	99.541664	99.029999	
0.010000	0.012321	0.022407	99.601669	99.159996	
0.010000	0.011819	0.023265	99.630005	99.239998	
